product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
b.tempt'd Ciao Bella Bralette,$30.00 ,$30.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Bridal White
b.tempt'd Ciao Bella Bralette,$30.00 ,$30.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Night
b.tempt'd Ciao Bella Bralette,$30.00 ,$30.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Wild Aster
b.tempt'd Ciao Bella Bralette,$30.00 ,$21.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Camellia Rose
b.tempt'd Ciao Bella Bralette,$30.00 ,$21.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Cappuccino
b.tempt'd Ciao Bella Bralette,$30.00 ,$18.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Baja Blue
b.tempt'd Ciao Bella Bralette,$30.00 ,$18.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s,xl,xs",Wineberry
b.tempt'd Ciao Bella Bralette,$30.00 ,$18.00 ,http://btemptd.wacoal-america.com/b-tempt-d-ciao-bella-bralette-btemptd-910244-p.html,WACOAL,COLLECTIONS,Btemptd US,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette.",NULL,NULL,"[Wire free bralette • Cut and sew corded lace cups with contrast lining• Dramatic scallop detail at neckline • Fishnet mesh lined band• Hook and eye back closure • Double roleau straps with back adjustment• Matching panties 976144, 978144, 945144 (sold separately), Body: 86% Nylon/14% Spandex ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","XS,S,M,L,XL","l,m,s",Blithe
b.charming T-Shirt Bra,$40.00 ,$40.00 ,http://btemptd.wacoal-america.com/b-charming-t-shirt-bra-btemptd-953232-p.html,WACOAL,COLLECTIONS,Btemptd US,"That bra you know you need, in a style you definitely want.  Buy this sleek, shaping essential in bulk and enjoy accordingly- under any outfit, every day.",NULL,NULL,"[Underwire t-shirt bra,Cups with stretch foam pads covered in novelty pique fabric ,Top cup covered with eyelet inspired lace,Pretty detailed edge at top of cups with bow accents at strap,Soft pique fabric provides added band comfort,Low center front with lace bow detail,Fully adjustable decorative stretch straps ,Matching panties 945232 (sold separately), Body: 41% Nylon/ 39% Polyester/ 20% Spandex; Top Cup: 87% Nylon/ 13% Spandex; Cup Lining: 100% Polyester ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","32B,32C,32D,32DD,32DDD,34B,34C,34D,34DD,34DDD,36B,36C,36D,36DD,36DDD,38C,38D","32b,32c,32d,32dd,32ddd,34b,34c,34d,34dd,34ddd,36b,36c,36d,36dd,36ddd,38c,38d",Antler
b.charming T-Shirt Bra,$40.00 ,$40.00 ,http://btemptd.wacoal-america.com/b-charming-t-shirt-bra-btemptd-953232-p.html,WACOAL,COLLECTIONS,Btemptd US,"That bra you know you need, in a style you definitely want.  Buy this sleek, shaping essential in bulk and enjoy accordingly- under any outfit, every day.",NULL,NULL,"[Underwire t-shirt bra,Cups with stretch foam pads covered in novelty pique fabric ,Top cup covered with eyelet inspired lace,Pretty detailed edge at top of cups with bow accents at strap,Soft pique fabric provides added band comfort,Low center front with lace bow detail,Fully adjustable decorative stretch straps ,Matching panties 945232 (sold separately), Body: 41% Nylon/ 39% Polyester/ 20% Spandex; Top Cup: 87% Nylon/ 13% Spandex; Cup Lining: 100% Polyester ,Hand wash warm,Wash colors separately,Use non-chlorine bleach only when needed,Hang to dry,Do not iron,Do not dry clean]","32B,32C,32D,32DD,32DDD,34B,34C,34D,34DD,34DDD,36B,36C,36D,36DD,36DDD,38C,38D","32b,32c,32d,32dd,32ddd,34b,34c,34d,34dd,34ddd,36b,36c,36d,36dd,36ddd,38c,38d",Blackened Pearl
