product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
logo cotton stretch thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539,Calvin Klein,3 FOR 33 PANTY ESSENTIALS,Calvin Klein US,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.,NULL,NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l","s,m,l",BLACK
logo cotton stretch thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539,Calvin Klein,3 FOR 33 PANTY ESSENTIALS,Calvin Klein US,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.,NULL,NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l","s,m,l",ASHFORD GREY
logo cotton stretch thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539,Calvin Klein,3 FOR 33 PANTY ESSENTIALS,Calvin Klein US,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.,NULL,NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l","s,m,l",WHITE
logo cotton stretch thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539,Calvin Klein,3 FOR 33 PANTY ESSENTIALS,Calvin Klein US,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.,NULL,NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l","s,m,l",NAVY
essentials thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-thong-51563445-699,Calvin Klein,Panties,Calvin Klein US,the essentials thong features a semi sheer pattern and tonal lace trim.,NULL,NULL,"[""semi sheer thong panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""silky feel"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l","s,m,l",EPHEMERAL WITH IVORY LACE & LOGO
essentials thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-thong-51563445-699,Calvin Klein,Panties,Calvin Klein US,the essentials thong features a semi sheer pattern and tonal lace trim.,NULL,NULL,"[""semi sheer thong panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""silky feel"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l","s,m,l",TRANSPINK WITH SCANDAL LACE & IVORY
essentials thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-thong-51563445-699,Calvin Klein,Panties,Calvin Klein US,the essentials thong features a semi sheer pattern and tonal lace trim.,NULL,NULL,"[""semi sheer thong panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""silky feel"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l","s,m,l",DOT FLOW WITH WATERSONE LACE
3 pack liner socks,$18.00 ,$18.00 ,http://www.calvinklein.us/en/womens-clothing/intimates-womens-socks/3-pack-liner-socks-38010531,Calvin Klein,Socks,Calvin Klein US,soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.,NULL,NULL,"[""cotton stretch liner socks"",""no-show style"",""elasticized edges"",""machine wash"",""93% cotton 7% spandex"",""imported""]","xs-s,s-m,m-l","xs-s,m-l",BLACK
3 pack liner socks,$18.00 ,$18.00 ,http://www.calvinklein.us/en/womens-clothing/intimates-womens-socks/3-pack-liner-socks-38010531,Calvin Klein,Socks,Calvin Klein US,soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.,NULL,NULL,"[""cotton stretch liner socks"",""no-show style"",""elasticized edges"",""machine wash"",""93% cotton 7% spandex"",""imported""]","xs-s,s-m,m-l","s-m,m-l",WHITE/BLACK/NUDE
3 pack liner socks,$18.00 ,$18.00 ,http://www.calvinklein.us/en/womens-clothing/intimates-womens-socks/3-pack-liner-socks-38010531,Calvin Klein,Socks,Calvin Klein US,soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.,NULL,NULL,"[""cotton stretch liner socks"",""no-show style"",""elasticized edges"",""machine wash"",""93% cotton 7% spandex"",""imported""]","xs-s,s-m,m-l","xs-s,m-l",BEIGE
pure seamless thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/pure-seamless-thong-51463544-001,Calvin Klein,Panties,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,NULL,NULL,"[""seamless thong"",""no-show fabric"",""contrast print logo on waistband"",""minimal rear coverage"",""machine wash"",""85% nylon 15% elastane"",""imported""]","s,m,l","s,m,l",BLACK
pure seamless thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/pure-seamless-thong-51463544-001,Calvin Klein,Panties,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,NULL,NULL,"[""seamless thong"",""no-show fabric"",""contrast print logo on waistband"",""minimal rear coverage"",""machine wash"",""85% nylon 15% elastane"",""imported""]","s,m,l","m,l",WHITE
pure seamless thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/pure-seamless-thong-51463544-001,Calvin Klein,Panties,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,NULL,NULL,"[""seamless thong"",""no-show fabric"",""contrast print logo on waistband"",""minimal rear coverage"",""machine wash"",""85% nylon 15% elastane"",""imported""]","s,m,l","s,m",SPARROW
pure seamless thong,$13.00 ,$13.00 ,http://www.calvinklein.us/en/womens-clothing/women-panties/pure-seamless-thong-51463544-001,Calvin Klein,Panties,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,NULL,NULL,"[""seamless thong"",""no-show fabric"",""contrast print logo on waistband"",""minimal rear coverage"",""machine wash"",""85% nylon 15% elastane"",""imported""]","s,m,l",m,BARE
